post_title,title_zh,title_en,summary_zh,summary_en,category_zh,category_en,subcategory_zh,subcategory_en,date_raw,date_start,date_end,status,image_url,video_url,link
Isaiah 19 Highway Gospel Project,以賽亞19大道福音工程,Isaiah 19 Highway Gospel Project,組織阿拉伯母語家庭，透過伯特利中心英文聖經課程培養英語與阿語雙語宣教士。差派先鋒團隊至中東，重點關注埃及—亞述—以色列及亞伯拉罕大道沿線宣教需求。,"Gather Arabic-speaking families and train bilingual (English/Arabic) missionaries through BRC English Bible courses. Send pioneer teams to the Middle East, focusing on Egypt–Assyria–Israel and the Abrahamic corridor.",北美事工,North America Ministries,以赛亚19大道福音工程,Isaiah 19 Highway Gospel Project,,,,archived,https://www.bethelrc.org/images/banners/Isa19.png,,https://www.bethelrc.org/index.php/ministries/isaiah-19-highway
Gospel Restaurant Launch,福音餐館開鑼啦,Gospel Restaurant Launch,「福音進餐館，福音出餐館」。在住家附近開啟福音餐館，新春第一炮響在珊珊麵館。賴忠智牧師一人樂隊帶來許多歡樂。期待珊珊麵館成爲真正的福音餐館，造福社區。,"“Gospel enters the restaurant, gospel goes out.” Launching a gospel restaurant near home, the first event was at Shan‑Shan Noodles. Pastor Lai’s one‑man band brought joy. Praying it becomes a true gospel restaurant blessing the community.",北美事工,North America Ministries,餐福事工,Gospel Restaurant Ministry,2015-03-13,,,archived,https://www.bethelrc.org/cache/widgetkit/gallery/20/20150315gr0-541ac11a5f.jpg,,https://www.bethelrc.org/index.php/ministries/gospel-restaurant-ministry/20150313
Robert Morrison Posters East Coast Tour,馬禮遜掛圖東岸巡迴展,Robert Morrison Posters East Coast Tour,1807年9月，第一位入華宣教的基督教宣教士馬禮遜歷盡千辛萬苦，終於到達中國。展覽內容：Robert Morrison displays、Rainbow after the storms、Boxer Incident Martyrs。,"In Sept 1807, the first Christian missionary to China, Robert Morrison, arrived after great hardship. Exhibit themes include Robert Morrison displays, Rainbow after the storms, and Boxer Incident Martyrs.",北美事工,North America Ministries,马礼逊挂图巡回展,Morrison Poster Touring Exhibit,2014-09至2014-11,,,archived,https://www.bethelrc.org/cache/com_zoo/images/Robert_mprrison_feature_d0c98607aed5dc512944b73a44b3d620.jpg,,https://www.bethelrc.org/index.php/ministries/2015-03-25-17-20-38/2014-01-15-07-31-05
2016 Cosmic Light Poster Touring Exhibit,2016宇宙光掛圖巡迴展,2016 Cosmic Light Poster Touring Exhibit,2007年適逢這位宣教先鋒入華200週年，宇宙光全人關懷機構製作歷史掛圖一百八十餘幅，精挑細選珍貴罕見歷史圖片千餘幀。,"Marking 200 years since the pioneer missionary entered China, Cosmic Light produced 180+ historical posters with over 1,000 carefully selected rare images.",北美事工,North America Ministries,马礼逊挂图巡回展,Morrison Poster Touring Exhibit,2016,,,archived,https://www.bethelrc.org/cache/widgetkit/gallery/21/1-553a208ebb.jpg,,https://www.bethelrc.org/index.php/ministries/2015-03-25-17-20-38/2016
Chinese Christian Coworkers Gathering,華人基督教同工聯會聚集,Chinese Christian Coworkers Gathering,在東岸聯合眾教會牧長同工。目前在紐約市和新澤西有定期聯會。,"Unites pastors and coworkers among East Coast churches, with regular fellowships in New York City and New Jersey.",北美事工,North America Ministries,华人基督教同工联会,Chinese Christian Coworkers Fellowship,2014-01-12,,,archived,,,https://www.bethelrc.org/index.php/ministries/2014-01-13-02-31-54
GOOD TV USA NJ Promotion Team,GOOD TV USA NJ 推展團隊,GOOD TV USA NJ Promotion Team,【北美好消息電視台】乃在美國政府註冊的宗教/教育性非營利機構，期運用媒體資源，向北美華人傳揚基督福音並服事北美華人眾教會。,GOOD TV USA is a US‑registered religious/educational nonprofit using media to share the gospel among North American Chinese and serve Chinese churches.,北美事工,North America Ministries,北美好消息推展团队,GOOD TV USA Promotion Team,2022-01-23,,,archived,https://www.bethelrc.org/images/stories/slideshow/goodtv_sildeshow.png,,https://www.bethelrc.org/index.php/ministries/goodtv-usa
Cleansing Stream Ministry,清泉事工,Cleansing Stream Ministry,清泉事工是根據聖經真理發展的「門徒訓練」教材，包括教導真理、門徒操練、小組聚會，借著退修會進行醫治釋放之服事與訓練。,"Cleansing Stream provides discipleship training based on biblical truth, including teaching, practice, small groups, and healing/deliverance through retreats.",北美事工,North America Ministries,清泉事工,Cleansing Stream Ministry,2014-01-20,,,archived,https://www.bethelrc.org/cache/widgetkit/gallery/18/image_1-b205f319b9.jpeg,,https://www.bethelrc.org/index.php/ministries/cleansing-stream
East Coast 24-Hour Watch Prayer,東岸24小時守望禱告,East Coast 24-Hour Watch Prayer,"一個月擺上一個小時，與眾教會弟兄姊妹在靈裡合一，建立起禱告的祭壇，為東岸、美國和以色列向神呼求。電話號碼：559-726-1300, passcode 383349#","Offer one hour a month to unite in prayer, build an altar, and intercede for the East Coast, the US, and Israel. Dial 559‑726‑1300, passcode 383349#.",北美事工,North America Ministries,东岸24小时守望祷告,East Coast 24-Hour Watch Prayer,2014-01-18,,,archived,https://www.bethelrc.org/cache/widgetkit/gallery/15/001-dc72fc89f2.JPG,,https://www.bethelrc.org/index.php/ministries/24
Money Honey Mobile Cinema Project,麵包情人行動電影院方案,Money Honey Mobile Cinema Project,歷經13年跨越台灣菲律賓拍攝制作的紀錄片，刻畫一群充滿夢想的菲媽的感人故事。入圍金馬獎最佳紀錄片、榮獲釜山國際影展發行獎等九大國際獎項。導演李靖惠是基督徒導演。,"A documentary filmed over 13 years across Taiwan and the Philippines, portraying the moving story of Filipino mothers. Nominated for the Golden Horse best documentary and won multiple international awards. Directed by Christian filmmaker Li Jing‑hui.",亚洲事工,Asia Ministries,面包情人,Money Honey,2014-04-03,,,archived,https://www.bethelrc.org/images/stories/News/Money_Honey/moneyhoney_main.jpg,https://www.youtube.com/watch?v=5cVnM7uUe7g,https://www.bethelrc.org/index.php/2014-01-10-14-17-08/money-honey
Hong Kong Couples Festival,香港夫妻節,Hong Kong Couples Festival,「香港貞潔運動」及「夫妻節11.11」發起人介紹，大衛城文化中心總監，基督教九龍城潮人生命堂主任牧師。1983年結婚育有三名子女。,Founder of the Hong Kong Chastity Movement and Couples Day 11.11; director of David City Cultural Center and senior pastor in Kowloon City. Married since 1983 with three children.,亚洲事工,Asia Ministries,香港夫妻节,Hong Kong Couples Festival,2014-01-19,,,archived,https://www.bethelrc.org/images/stories/Ministries/Asia/HK/HK.jpg,,https://www.bethelrc.org/index.php/2014-01-10-14-17-08/hk
Taoyuan Love Neighbor Assoc. / 333 Rescue Children Project,桃園縣愛鄰舍協會 / 333搶救貧童計劃,Taoyuan Love Neighbor Assoc. / 333 Rescue Children Project,由中壢真理堂林雄堅牧師發起，致力於4-14歲兒童青少年教導。333計劃：每月NT$300/USD$10，持續3年，傳遞信息給3人。目前協會有會員1100多位。,"Launched by Pastor Lin Xiong‑jian of Zhongli Truth Church to teach children and teens ages 4–14. The 333 plan: NT$300/USD$10 per month for 3 years to share with 3 people. 1,100+ members.",亚洲事工,Asia Ministries,333抢救贫童计划,333 Rescue Children Project,2014-01-07,,,archived,https://www.bethelrc.org/images/stories/Ministries/Asia/333/facebook.jpg,,https://www.bethelrc.org/index.php/2014-01-10-14-17-08/tylyna
Earthquake Refugee Relief,震災難民救助事工,Earthquake Refugee Relief,敘利亞/土耳其震災難民救助事工相關訊息。,Updates on the Syria/Turkey earthquake disaster relief ministry.,特色事工,Special Ministries,难民救助,Disaster Relief,2023-02,,,archived,https://www.bethelrc.org/images/banners/EarthquakeDisasterRelief.png,,https://www.bethelrc.org/index.php/9-feature/298-202302-earthquake-relief
Afghan Refugee Ministry,阿富汗難民事工,Afghan Refugee Ministry,阿富汗370萬兒童失學，近500萬人流離失所。伯特利中心迅速投入難民事工。參與機構包括美國國際加利利、芝加哥華人宣道團、馬來西亞浸信會神學院。,"With 3.7M Afghan children out of school and nearly 5M displaced, BRC mobilized quickly. Partners include Galilee International US, Chicago Chinese Mission, and Malaysia Baptist Theological Seminary.",特色事工,Special Ministries,难民事工,Refugee Ministry,2021-08,,,archived,https://www.bethelrc.org/images/stories/feature/Afghan_relief/%E9%9B%A3%E6%B0%91%E4%BA%8B%E5%B7%A5%E5%9C%96%E7%89%87.png,,https://www.bethelrc.org/index.php/9-feature/279-afghan-refugee
Ukraine Refugee Ministry,烏克蘭難民事工,Ukraine Refugee Ministry,烏克蘭難民危機帶來緊迫且長期性的需要，伯特利中心迅速投入難民事工當中，邀請透過禱告、奉獻或親身參與。,"The Ukraine refugee crisis brings urgent long‑term needs. BRC mobilized quickly and invites support through prayer, giving, or participation.",特色事工,Special Ministries,难民事工,Refugee Ministry,2022-03,,,archived,,,https://www.bethelrc.org/index.php/9-feature/293-ukraine-refugee
BRC Invites Global Watchmen Prayer,伯特利中心敬邀全球守望禱告,BRC Invites Global Watchmen Prayer,週間美東時間早上6:00-7:30晨禱暨擘餅聚會，7:00開始有專題分享。通過Zoom Meeting線上參與。,"Weekdays 6:00–7:30am ET morning prayer and communion, with topic sharing from 7:00. Join via Zoom.",特色事工,Special Ministries,祷告事工,Prayer Ministry,,,,archived,https://www.bethelrc.org/images/stories/feature/MP/%E7%A6%B1%E5%91%8A%E5%B9%B3%E5%8F%B0v1.jpg,,https://www.bethelrc.org/index.php/9-feature/254-brc-invitation-watchmen-prayer
RPG Revival Prayer Conference,RPG 復興禱告特會,RPG Revival Prayer Conference,楊道諾牧師主講的系列特會，主題包括「主教導我們禱告」「主教導我們的家庭禱告」「主教導我們的教會禱告」「裝備教會迎接豐收」。國際禱告學校已在134個國家培訓超過1600萬牧者和基督徒領袖。,"A conference series led by Rev. Yang Dao‑nuo on personal, family, and church prayer, and equipping churches for harvest. The International Prayer School has trained 16M+ leaders in 134 countries.",特色事工,Special Ministries,祷告特会,Prayer Conference,2021-08至2022-01,,,archived,,,https://www.bethelrc.org/index.php/9-feature/276-rpg-conference
